paradigm_id	tdr_refs	coverage	path
PAR-FS-001	TDR-FS-1	прямое	Paradigms/Архитектура/01 FastSearch как knowledge plane.md
PAR-FS-002	TDR-FS-1.1	прямое	Paradigms/Архитектура/Графы знаний/01 Документальный граф.md
PAR-FS-003	TDR-FS-1.2	прямое	Paradigms/Архитектура/Графы знаний/02 Иерархический граф кода.md
PAR-FS-004	TDR-FS-1.5	прямое	Paradigms/Архитектура/Графы знаний/03 Межграфовая трассируемость.md
PAR-FS-005	TDR-FS-1.6	прямое	Paradigms/Архитектура/Графы знаний/04 Полный граф через ограниченные запросы.md
PAR-FS-006	TDR-FS-1.2	прямое	Paradigms/Архитектура/Сопровождение графа/01 Стабильная синтаксическая identity.md
PAR-FS-007	TDR-FS-1.3	прямое	Paradigms/Архитектура/Сопровождение графа/02 Ревизии рёбер и причинная актуальность.md
PAR-FS-008	TDR-FS-1.4	прямое	Paradigms/Архитектура/Сопровождение графа/03 Semantic overlay и graph curator.md
PAR-FS-009	TDR-FS-2.2	прямое	Paradigms/Архитектура/Сопровождение графа/04 Переносимый namespace .fastsearch.md
PAR-FS-010	TDR-FS-2.4,TDR-FS-2.5	прямое	Paradigms/Архитектура/Сопровождение графа/05 Evidence-first выбор моделей.md
PAR-FS-011	TDR-FS-2.1	прямое	Paradigms/Архитектура/Рабочие области и интерфейс/01 Рабочая область и два контура источников.md
PAR-FS-012	TDR-FS-2.3	прямое	Paradigms/Архитектура/Рабочие области и интерфейс/02 Terminal-first интерфейс.md
